song,scene,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,name,type,active_lights,colors,avg_brightness,avg_strobe,uses_mfft,uses_time,uses_bool,active_light_types,dominant_color
Saving Up,chill_pink,17.9943,0.436,-6.043,130.163,0.676,6,0.628,1,0.585,4,1.0,chill_pink,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'pink': 8},55.0,0.0,True,False,False,{'rgb': 8},pink
Saving Up,pink_pulse,42.46443,0.598,-5.976,129.86,0.526,11,0.394,1,0.318,4,1.0,pink_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'pink': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
Saving Up,chill_pink,28.15509,0.831,-7.423,130.007,0.751,8,0.088,1,0.492,4,1.0,chill_pink,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'pink': 8},55.0,0.0,True,False,False,{'rgb': 8},pink
Saving Up,chill_pink,17.54253,0.671,-5.593,129.935,0.65,6,0.036,0,0.322,4,1.0,chill_pink,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'pink': 8},55.0,0.0,True,False,False,{'rgb': 8},pink
Saving Up,chill_pink,15.21838,0.455,-5.662,130.183,0.616,3,0.0,0,0.0,4,1.0,chill_pink,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'pink': 8},55.0,0.0,True,False,False,{'rgb': 8},pink
Saving Up,pink_pulse,36.92983,0.501,-5.668,129.869,0.498,11,0.377,1,0.32,4,1.0,pink_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'pink': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
Saving Up,chill_pink,7.14656,1.0,-21.314,129.782,0.522,10,0.336,0,0.0,4,1.0,chill_pink,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'pink': 8},55.0,0.0,True,False,False,{'rgb': 8},pink
Pump Up The Jam,whispers,8.0433,1.0,-21.237,124.379,0.849,1,0.165,1,0.591,3,0.667,whispers,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'blue': 3, 'purple': 3, 'green': 2}",20.833333333333332,0.0,True,True,True,"{'rgb': 8, 'dimmer': 2, 'strobe': 1}",blue
Pump Up The Jam,bluevelvet,18.75472,0.917,-12.872,124.528,0.76,7,0.086,1,0.551,4,0.375,bluevelvet,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']",{'blue': 8},56.25,0.0,True,False,False,"{'dimmer': 2, 'rgb': 8}",blue
Pump Up The Jam,bluevelvet,35.4591,0.328,-9.02,124.561,0.729,10,0.279,0,0.518,4,1.0,bluevelvet,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']",{'blue': 8},56.25,0.0,True,False,False,"{'dimmer': 2, 'rgb': 8}",blue
Pump Up The Jam,bluevelvet,91.50022,0.172,-7.762,124.626,0.748,10,0.194,0,0.492,4,1.0,bluevelvet,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']",{'blue': 8},56.25,0.0,True,False,False,"{'dimmer': 2, 'rgb': 8}",blue
Pump Up The Jam,discovibe,9.14247,0.62,-11.602,124.793,0.734,10,0.275,0,0.561,4,1.0,discovibe,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6', 'discoball', 'ropes']","{'blue': 4, 'pink': 4}",70.0,0.1111111111111111,True,True,True,"{'dimmer': 2, 'rgb': 8, 'strobe': 1}",blue
Pump Up The Jam,discolaser,17.34137,0.631,-8.761,124.629,0.765,10,0.3,0,0.508,4,1.0,discolaser,effect,"['discoball', 'lasers']",{},177.5,,False,False,True,{'dimmer': 2},
